"Times","Climate.Scenario","Rainfall.Change"
0,"CEH_1.1",1.06704629450105
0.5,"CEH_1.1",1.13347217560485
1,"CEH_1.1",0.998812476004836
1.5,"CEH_1.1",1.04762021154204
2,"CEH_1.1",0.879590608463554
2.5,"CEH_1.1",0.830199372483838
3,"CEH_1.1",0.917396206860174
3.5,"CEH_1.1",0.815117349620488
4,"CEH_1.1",0.885977409255299
4.5,"CEH_1.1",0.66211884496048
5,"CEH_1.1",0.805734123169068
5.5,"CEH_1.1",0.604643510660433
6,"CEH_1.1",0.603659623791243
6.5,"CEH_1.1",0.591981374425607
7,"CEH_1.1",0.531148309838245
7.5,"CEH_1.1",0.597270221393706
8,"CEH_1.1",0.49561641967606
8.5,"CEH_1.1",0.424104132383814
9,"CEH_1.1",0.426125533059646
9.5,"CEH_1.1",0.494848055689081
10,"CEH_1.1",0.459604681244272
10.5,"CEH_1.1",0.289655692223967
11,"CEH_1.1",0.310304057860181
11.5,"CEH_1.1",0.39470820501908
12,"CEH_1.1",0.28085496337625
12.5,"CEH_1.1",0.352854710231729
13,"CEH_1.1",0.220027393338397
13.5,"CEH_1.1",0.230668972175262
14,"CEH_1.1",0.256019328156694
14.5,"CEH_1.1",0.212535436071944
15,"CEH_1.1",0.0858709349543144
15.5,"CEH_1.1",0.169562077170085
16,"CEH_1.1",0.0694234545686017
16.5,"CEH_1.1",0.218071295803988
17,"CEH_1.1",0.202567555692745
17.5,"CEH_1.1",0.201962826597449
18,"CEH_1.1",0.121526696603328
18.5,"CEH_1.1",0.0868232687621153
19,"CEH_1.1",0.152814076011146
19.5,"CEH_1.1",0.124894362347295
20,"CEH_1.1",0.158177576881018
20.5,"CEH_1.1",0.0390504134626063
21,"CEH_1.1",0.124130398525222
21.5,"CEH_1.1",0.0870063717686133
22,"CEH_1.1",0.0485950425596386
22.5,"CEH_1.1",-0.0156213586180488
23,"CEH_1.1",0.00156808899185157
23.5,"CEH_1.1",0.0401041183998864
24,"CEH_1.1",-0.0259560604722653
24.5,"CEH_1.1",0.114206895403664
25,"CEH_1.1",0.106106884868473
25.5,"CEH_1.1",0.0650927738025684
26,"CEH_1.1",0.0225574420484786
26.5,"CEH_1.1",0.10036949979328
27,"CEH_1.1",0.136821829632171
27.5,"CEH_1.1",0.130705252908858
28,"CEH_1.1",0.15483730691404
